Train_No,Journey_Duration_Hours,Total_Distance,Number_of_Stops
107,1.75,78,4
108,1.9166666666666667,83,4
128,22.083333333333332,978,22
290,8.0,2694,14
401,12.5,1618,12
421,9.0,1276,5
422,2.75,1277,5
477,3.1666666666666665,2616,14
502,23.0,1206,9
504,1.0,1313,3
506,1.5,1161,3
557,11.5,1301,2
604,3.5,1429,3
1011,14.0,841,18
1037,9.333333333333334,513,10
1038,10.25,503,10
1045,9.833333333333334,563,11
1119,0.6666666666666666,1329,24
1120,0.5,1319,24
1122,12.0,569,14
1196,1.6666666666666667,1332,26
1301,17.666666666666668,976,17
1302,21.416666666666668,973,17
1442,15.0,1581,13
1655,19.5,1050,13
1656,18.583333333333332,1050,13
1705,21.416666666666668,1261,14
1706,20.916666666666668,1262,14
1707,2.5,1360,17
1708,2.5833333333333335,1362,17
2025,8.333333333333334,579,7
2026,8.5,569,7
2191,19.833333333333332,1123,16
2192,19.166666666666668,1123,16
2195,9.666666666666666,551,10
2196,10.0,549,10
2515,4.916666666666667,3939,58
2651,1.4166666666666667,62,3
2652,1.4166666666666667,62,3
2731,14.0,1854,29
2732,11.416666666666666,1853,29
2821,7.75,2066,14
2822,8.25,2073,14
2833,18.25,2332,29
2834,16.666666666666668,2351,29
2841,2.6666666666666665,1656,12
2842,5.166666666666667,1656,12
2845,7.583333333333333,1770,17
2846,5.75,1791,17
3101,11.916666666666666,523,9
3102,11.666666666666666,522,9
3301,1.4166666666666667,58,13
3302,1.4166666666666667,58,13
3305,0.3333333333333333,3,2
3306,0.3333333333333333,3,2
3307,0.5833333333333334,4,4
3308,0.5,4,4
3501,19.666666666666668,1193,5
3502,21.666666666666668,1193,5
4401,14.666666666666666,710,13
4402,14.25,710,13
4409,14.333333333333334,653,7
4410,13.75,653,7
4419,6.25,1916,13
4420,4.083333333333333,1924,13
4735,14.666666666666666,691,17
4736,13.583333333333334,691,17
4767,1.6666666666666667,67,10
4768,1.8333333333333333,67,10
4769,1.75,67,10
4770,1.5833333333333333,67,10
4771,6.166666666666667,232,24
4772,6.25,232,24
4773,3.0833333333333335,125,16
4774,2.5833333333333335,125,10
4801,1.0,21,3
4802,1.0,21,3
4831,21.25,882,22
4832,19.0,881,22
4851,4.666666666666667,197,21
4852,5.083333333333333,197,21
4853,1.25,42,6
4854,1.0,42,6
4921,1.75,81,13
4922,1.9166666666666667,81,13
4991,2.5,99,14
4992,2.3333333333333335,99,14
5061,3.0833333333333335,112,5
5062,2.75,112,5
5065,12.75,503,15
5066,12.0,505,15
5105,1.8333333333333333,64,4
5106,1.5,64,4
5305,3.5,136,11
5306,2.9166666666666665,136,11
5309,1.8333333333333333,81,6
5310,1.9166666666666667,81,6
5521,3.75,81,12
5522,2.8333333333333335,81,12
5613,2.0833333333333335,85,11
5614,2.25,85,9
5619,4.166666666666667,153,20
5620,4.083333333333333,153,20
5631,12.416666666666666,380,10
5632,12.416666666666666,379,10
5715,2.1666666666666665,87,2
5716,2.5,87,2
5719,4.0,204,11
5720,5.0,205,11
5863,3.0833333333333335,89,15
5864,2.75,88,15
5865,12.083333333333334,426,53
5866,11.75,425,53
6001,12.666666666666666,649,14
6002,12.5,649,15
6006,15.083333333333334,699,14
6009,6.083333333333333,1844,27
6010,9.25,1843,27
6041,16.666666666666668,849,19
6042,16.25,851,20
6043,16.0,849,18
6044,16.083333333333332,852,19
6046,18.0,852,19
6047,16.166666666666668,849,19
6048,17.0,852,20
6049,15.083333333333334,855,19
6050,16.5,857,20
6053,10.583333333333334,626,14
6054,13.333333333333334,627,14
6057,5.666666666666668,1656,19
6058,3.75,1655,19
6065,13.416666666666666,500,13
6066,10.583333333333334,501,13
6067,9.916666666666666,522,9
6068,11.916666666666666,522,9
6081,1.1666666666666667,45,4
6082,1.1666666666666667,45,4
6412,5.166666666666667,2462,21
6512,2.3333333333333335,77,14
6513,0.5833333333333334,17,6
6541,17.583333333333332,881,14
6542,16.75,878,14
6547,11.75,632,14
6548,13.75,634,13
6579,20.0,1089,21
6580,19.333333333333332,1086,21
6581,13.266666666666667,607,85
6582,13.266666666666667,604,85
6591,1.5,62,9
6592,1.5833333333333333,61,9
6593,0.4166666666666667,10,4
6594,0.4166666666666667,10,4
6595,0.8333333333333334,33,7
6596,1.1666666666666667,33,7
6647,2.1666666666666665,89,8
6648,2.5,89,8
6769,2.6666666666666665,116,11
6770,3.0833333333333335,116,11
6851,0.3333333333333333,10,3
6852,0.4166666666666667,10,3
6853,0.38333333333333336,10,3
6854,0.4166666666666667,10,3
6919,6.933333333333334,247,36
6920,6.85,248,36
7005,20.0,2276,34
7006,21.75,2297,34
7007,15.75,2023,27
7008,17.166666666666668,2033,28
7016,13.083333333333334,670,18
7044,15.083333333333334,735,11
7061,4.5,217,8
7062,12.5,437,14
7075,10.166666666666666,554,17
7076,11.833333333333334,553,17
7109,7.25,1589,40
7110,8.25,1593,40
7113,7.166666666666667,1543,37
7133,7.666666666666667,1508,39
7134,8.25,1511,39
7141,6.916666666666667,1560,39
7142,6.25,1563,39
7146,13.5,763,16
7149,1.25,2563,37
7211,6.666666666666668,1433,36
7212,4.0,1436,36
7213,2.5,1221,29
7214,0.08333333333333333,1226,30
7217,6.666666666666668,1360,37
7218,4.25,1363,37
7410,0.25,1147,29
7417,4.416666666666667,1330,33
7418,6.0,1331,33
